order_details_id,order_id,order_date,order_time,item_id,batch_id,source_file,created_at
9055,3971,3/8/23,5:13:18 PM,103.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9056,3971,3/8/23,5:13:18 PM,117.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9057,3971,3/8/23,5:13:18 PM,113.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9058,3972,3/8/23,5:29:55 PM,101.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9059,3972,3/8/23,5:29:55 PM,123.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9060,3973,3/8/23,5:34:55 PM,125.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9061,3973,3/8/23,5:34:55 PM,112.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9062,3973,3/8/23,5:34:55 PM,122.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9063,3973,3/8/23,5:34:55 PM,106.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9064,3974,3/8/23,5:41:34 PM,101.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9065,3974,3/8/23,5:41:34 PM,127.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
9066,3974,3/8/23,5:41:34 PM,129.0,8,data/order_details.csv,2026-07-19 18:23:37.286793+00:00
