order_details_id,order_id,order_date,order_time,item_id,batch_id,source_file,created_at
9655,4232,3/13/23,12:22:05 PM,110.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9656,4232,3/13/23,12:22:05 PM,113.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9657,4232,3/13/23,12:22:05 PM,113.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9658,4232,3/13/23,12:22:05 PM,118.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9659,4232,3/13/23,12:22:05 PM,120.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9660,4232,3/13/23,12:22:05 PM,120.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9661,4232,3/13/23,12:22:05 PM,114.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9662,4232,3/13/23,12:22:05 PM,,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9663,4233,3/13/23,12:26:06 PM,125.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9664,4233,3/13/23,12:26:06 PM,119.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9665,4233,3/13/23,12:26:06 PM,114.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
9666,4234,3/13/23,12:26:55 PM,125.0,8,data/order_details.csv,2026-07-19 18:23:37.378092+00:00
