order_details_id,order_id,order_date,order_time,item_id,batch_id,source_file,created_at
10447,4576,3/18/23,5:30:49 PM,102.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10448,4576,3/18/23,5:30:49 PM,126.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10449,4576,3/18/23,5:30:49 PM,122.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10450,4576,3/18/23,5:30:49 PM,106.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10451,4577,3/18/23,5:51:20 PM,106.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10452,4578,3/18/23,5:59:02 PM,101.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10453,4578,3/18/23,5:59:02 PM,109.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10454,4579,3/18/23,6:04:32 PM,104.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10455,4579,3/18/23,6:04:32 PM,122.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10456,4580,3/18/23,6:11:13 PM,109.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10457,4580,3/18/23,6:11:13 PM,109.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
10458,4580,3/18/23,6:11:13 PM,128.0,9,data/order_details.csv,2026-07-19 18:23:37.506881+00:00
