order_details_id,order_id,order_date,order_time,item_id,batch_id,source_file,created_at
6463,2857,2/17/23,4:43:16 PM,118.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6464,2858,2/17/23,4:52:53 PM,103.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6465,2858,2/17/23,4:52:53 PM,130.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6466,2859,2/17/23,4:56:21 PM,116.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6467,2859,2/17/23,4:56:21 PM,121.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6468,2859,2/17/23,4:56:21 PM,,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6469,2860,2/17/23,5:02:17 PM,104.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6470,2861,2/17/23,5:26:55 PM,107.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6471,2862,2/17/23,5:27:13 PM,106.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6472,2863,2/17/23,5:28:53 PM,129.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6473,2864,2/17/23,5:30:42 PM,108.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
6474,2864,2/17/23,5:30:42 PM,105.0,6,data/order_details.csv,2026-07-19 18:23:36.866179+00:00
